[2026-03-27 18:02:40,998: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:03:41,030: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:03:41,039: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:03:41,042: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:04:41,030: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:04:41,039: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:04:41,044: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:05:41,031: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:05:41,041: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:05:41,046: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:06:41,031: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:06:41,042: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:06:41,047: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:07:41,032: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:07:41,043: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:07:41,048: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:08:41,107: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:08:41,112: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:08:41,116: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:09:41,108: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:09:41,115: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:09:41,118: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:09:51,170: INFO/MainProcess] Scheduler: Sending due task ip-scan-all-subnets (ipmanagement.tasks.scan_all_subnets)
[2026-03-27 18:10:41,109: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:10:41,115: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:10:41,120: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:11:41,110: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:11:41,115: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:11:41,122: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:12:41,112: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:12:41,122: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:12:41,127: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:13:41,138: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:13:41,143: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
[2026-03-27 18:13:41,155: INFO/MainProcess] Scheduler: Sending due task collect-metrics (monitoring.tasks.collect_all_online_devices_metrics)
[2026-03-27 18:14:41,140: INFO/MainProcess] Scheduler: Sending due task check-devices-status (devices.tasks.check_device_online)
[2026-03-27 18:14:41,148: INFO/MainProcess] Scheduler: Sending due task config-backup-daily (configs.tasks.execute_scheduled_backup)
